,aclose
1999-11-12,54.8757
1999-11-19,59.4949
1999-11-26,60.1017
1999-12-03,64.034
1999-12-10,62.3912
1999-12-17,62.9636
1999-12-23,62.1737
1999-12-31,61.7444
2000-01-07,64.967
2000-01-14,68.4701
2000-01-21,69.5462
2000-01-28,63.8566
2000-02-04,66.1805
2000-02-11,66.1041
2000-02-18,64.4597
2000-02-25,61.8813
2000-03-03,61.8813
2000-03-10,60.3056
2000-03-17,63.0272
2000-03-24,69.1122
2000-03-31,67.823
2000-04-07,70.5447
2000-04-14,60.1624
2000-04-20,59.5894
2000-04-28,63.8867
2000-05-05,61.8068
2000-05-12,59.9124
2000-05-19,61.0597
2000-05-26,61.3465
2000-06-02,62.4192
2000-06-09,68.6606
2000-06-16,64.9663
2000-06-23,64.1746
2000-06-30,62.8495
2000-07-07,60.268
2000-07-14,59.6256
2000-07-21,65.8267
2000-07-28,64.1402
2000-08-04,66.4692
2000-08-11,69.2698
2000-08-18,69.1664
2000-08-25,74.0822
2000-09-01,76.7412
2000-09-08,74.3694
2000-09-15,71.7851
2000-09-22,71.1362
2000-09-29,64.6755
2000-10-06,66.6166
2000-10-13,62.6311
2000-10-20,54.4131
2000-10-27,53.8044
2000-11-03,57.497
2000-11-10,53.4776
2000-11-17,58.6183
2000-11-24,57.4682
2000-12-01,54.9841
2000-12-08,55.7777
2000-12-15,50.4932
2000-12-22,51.1774
2000-12-29,48.8773
2001-01-05,54.0526
2001-01-12,53.9433
2001-01-19,63.9718
2001-01-26,65.6624
2001-02-02,63.4083
2001-02-09,64.4747
2001-02-16,66.2017
2001-02-23,59.8694
2001-03-02,58.8907
2001-03-09,57.158
2001-03-16,51.8676
2001-03-23,53.8306
2001-03-30,55.3676
2001-04-06,56.3866
2001-04-12,55.3792
2001-04-20,66.1038
2001-04-27,66.8925
2001-05-04,66.6968
2001-05-11,64.4419
2001-05-18,67.6867
2001-05-25,67.8942
2001-06-01,65.0643
2001-06-08,66.9144
2001-06-15,65.4735
2001-06-22,65.0528
2001-06-29,65.4159
2001-07-06,61.3815
2001-07-13,62.5514
2001-07-20,60.9204
2001-07-27,60.344
2001-08-03,62.3497
2001-08-10,60.5694
2001-08-17,60.3616
2001-08-24,61.7467
2001-08-31,57.6838
2001-09-07,55.7446
2001-09-10,55.6754
2001-09-21,52.2299
2001-09-28,52.934
2001-10-05,56.5699
2001-10-12,58.1974
2001-10-19,59.242
2001-10-26,64.1533
2001-11-02,63.1953
2001-11-09,65.9195
2001-11-16,66.1622
2001-11-23,66.6534
2001-11-30,66.792
2001-12-07,69.5714
2001-12-14,69.9759
2001-12-21,70.496
2001-12-28,71.016
2002-01-04,72.5762
2002-01-11,69.5194
2002-01-18,66.0177
2002-01-25,63.1459
2002-02-01,62.4063
2002-02-08,60.7466
2002-02-15,59.5316
2002-02-22,56.9626
2002-03-01,59.6068
2002-03-08,60.8045
2002-03-15,61.7881
2002-03-22,61.0996
2002-03-28,60.1738
2002-04-05,56.2683
2002-04-12,49.5277
2002-04-19,51.4949
2002-04-26,49.0127
2002-05-03,47.3175
2002-05-10,46.1863
2002-05-17,49.67
2002-05-24,48.1687
2002-05-31,46.6326
2002-06-07,45.3864
2002-06-14,44.1517
2002-06-21,39.8507
2002-06-28,41.7346
2002-07-05,42.6041
2002-07-12,40.1174
2002-07-19,41.7346
2002-07-26,38.4886
2002-08-02,39.3464
2002-08-09,41.7263
2002-08-16,46.0947
2002-08-23,46.7047
2002-08-30,43.7886
2002-09-06,42.5222
2002-09-13,42.1155
2002-09-20,37.1314
2002-09-27,35.0634
2002-10-04,32.8792
2002-10-11,37.1314
2002-10-18,43.1321
2002-10-25,43.3122
2002-11-01,46.7047
2002-11-08,45.1553
2002-11-15,46.5636
2002-11-22,49.136
2002-11-29,50.5851
2002-12-06,47.908
2002-12-13,46.5578
2002-12-20,46.4356
2002-12-27,45.0214
2003-01-03,47.5181
2003-01-10,51.0274
2003-01-17,47.3144
2003-01-24,45.97
2003-01-31,45.5103
2003-02-07,44.9569
2003-02-14,45.161
2003-02-21,46.6188
2003-02-28,45.4526
2003-03-07,45.4234
2003-03-14,46.0648
2003-03-21,49.5051
2003-03-28,47.1436
2003-04-04,47.1086
2003-04-11,45.919
2003-04-17,49.1319
2003-04-25,48.9103
2003-05-02,51.062
2003-05-09,51.1445
2003-05-16,51.9858
2003-05-23,49.8068
2003-05-30,51.4308
2003-06-06,46.7632
2003-06-13,48.3405
2003-06-20,49.6082
2003-06-27,48.7319
2003-07-03,49.0415
2003-07-11,49.5906
2003-07-18,48.9072
2003-07-25,48.8078
2003-08-01,47.4759
2003-08-08,47.3429
2003-08-15,47.8756
2003-08-22,48.5663
2003-08-29,48.0043
