,volume
2019-01-04,18047093
2019-01-11,19780844
2019-01-18,23616108
2019-01-25,44147478
2019-02-01,23585862
2019-02-08,21874687
2019-02-15,17299173
2019-02-22,13238819
2019-03-01,15273342
2019-03-08,18558647
2019-03-15,20959826
2019-03-22,17883337
2019-03-29,14257045
2019-04-05,14574262
2019-04-12,13675882
2019-04-18,27390537
2019-04-26,16961387
2019-05-03,16772230
2019-05-10,19509963
2019-05-17,16426011
2019-05-24,15557532
2019-05-31,14869322
2019-06-07,16193845
2019-06-14,13722199
2019-06-21,15851123
2019-06-28,15575818
2019-07-05,9862722
2019-07-12,13194248
2019-07-19,31893327
2019-07-26,16794485
2019-08-02,22876887
2019-08-09,28623442
2019-08-16,20933133
2019-08-23,16504912
2019-08-30,16211916
2019-09-06,12663912
2019-09-13,17776693
2019-09-20,15262993
2019-09-27,12376163
2019-10-04,15911420
2019-10-11,14096608
2019-10-18,34208011
2019-10-25,19388201
2019-11-01,16136475
2019-11-08,17174941
2019-11-15,16169172
2019-11-22,16963107
2019-11-29,11502959
2019-12-06,17337693
2019-12-13,17504239
2019-12-20,20036502
2019-12-27,8887084
2020-01-03,13418364
2020-01-10,17020619
2020-01-17,20831539
2020-01-24,34829367
2020-01-31,34661511
2020-02-07,43694755
2020-02-14,23423757
2020-02-21,12493166
2020-02-28,38480655
2020-03-06,35054761
2020-03-13,55580046
2020-03-20,47138046
2020-03-27,39907532
2020-04-03,28882211
2020-04-09,23351117
2020-04-17,27240371
2020-04-24,41252209
2020-05-01,26502989
2020-05-08,21189890
2020-05-15,24229073
2020-05-22,19484187
2020-05-29,23037728
2020-06-05,19514867
2020-06-12,33456639
2020-06-19,24867689
2020-06-26,35016186
2020-07-02,16478700
2020-07-10,22560031
2020-07-17,21958911
2020-07-24,41040414
2020-07-31,20010578
2020-08-07,17701697
2020-08-14,18634659
2020-08-21,15908978
2020-08-28,16959794
2020-09-04,26310920
2020-09-11,16507866
2020-09-18,18909398
2020-09-25,18708494
2020-10-02,15038264
2020-10-09,43381507
2020-10-16,21874963
2020-10-23,50486636
2020-10-30,37250916
2020-11-06,25467232
2020-11-13,30088820
2020-11-20,22498909
2020-11-27,19418148
2020-12-04,24848983
2020-12-11,29511629
2020-12-18,25280527
2020-12-24,14908439
2020-12-31,14025419
2021-01-08,28434389
2021-01-15,29417959
2021-01-22,61879427
2021-01-29,56437187
2021-02-05,28405606
2021-02-12,24634263
2021-02-19,22567552
2021-02-26,30731807
2021-03-05,32662092
2021-03-12,29253064
2021-03-19,28046462
2021-03-26,23647858
2021-04-01,18432506
2021-04-09,19179860
2021-04-16,26831249
2021-04-23,47246234
2021-04-30,25588990
2021-05-07,31590796
2021-05-14,27415665
2021-05-21,20546126
2021-05-28,18483838
2021-06-04,12453017
2021-06-11,22042806
2021-06-18,23177438
2021-06-25,17129373
2021-07-02,29077036
2021-07-09,21544898
2021-07-16,18659679
2021-07-23,34786264
2021-07-30,16120616
2021-08-06,16428567
2021-08-13,18462255
2021-08-20,16189007
2021-08-27,12376600
2021-09-03,13345045
2021-09-10,13754250
2021-09-17,20130213
2021-09-24,18425230
2021-10-01,23824191
2021-10-08,27211291
2021-10-15,16262687
2021-10-22,59731582
2021-10-29,34288134
2021-11-05,29791780
2021-11-12,29109912
2021-11-19,24272797
2021-11-26,17875027
2021-12-03,36059651
2021-12-10,25031512
2021-12-17,35216850
2021-12-23,17369625
2021-12-31,18454937
